lemma,definition
قِرَام,سِتر فيه رَقْمٌ ونُقُوش.
سَنِهَة,صفة مشبهة لفعل سَنِه
جُرُبَّان,حدُّ السَّيْف.
وَدْفَة,الشَّحْمة.
العَادِي,العَدُوّ.
خَمَط,مصدر لفعل خَمِط
حَفْنَة,مِلْءُ الكف أَو ملءُ الكفَّين من شيء.
جَدَد,الأَرْض المُسْتَوِيَة .
دَقْرَارَة,عادة السَّوْء.
وَفْعَة,صِمامُ القارورة.
عَنْكَبَة,مؤنَّث العَنْكَبُوت.
سَوِيطَة,المختلطة.
دَسَائِس,جمع للاسم دَسِيسَة
جَذْبَة,القِطْعَة.
نَعَبَان,مصدر لفعل نَعَب
قَفِيف,ما يَبِسَ من البقَل وسائر النَّبْتِ.
رَدِيف,الرَّاكب خلف الرَّاكب.
شَقْل,مصدر لفعل شَقَل
لِحَاظ,مُؤْخِرُ العَيْن مما يلي الصُّدغ.
فِصْفِص,الفِصَّةُ في الشَّام: نباتٌ عُشْبيٌّ كَلَئِيٌّ مُعَمَّر من الفَصِيلة القَرْنية، يسمى: البرسيم الحجازي.
أَحْوَل,صفة مشبهة لفعل حَوِلَ
شَغِفَة,صفة مشبهة لفعل شَغِف
خِنْزِير,حيوانٌ ثدييّ دَجُونٌ من الفَصِيلة الخنْزيريَّة، ورتبة مزدوجات الأَصابع الجُسْئيات، جسمه أسطواني الشَّكْل، له أرجل قصيرة وأظلاف مشقوقة، وأنف غضروفي يستخدم للحفر، حاستا الشَّمّ والسَّمْع عنده قويتان، بينما حاسة البصر ضعيفة.
رُعَاق,الصَّوت الذي يُسْمَعُ من بطن الدَّابَّة عِنْد الجَري.
مَأْسَدَة,المكان تكثر فيه الأُسود وتأْلفه.
مَسْجِد,مصلّى الجَمَاعَة.
مَلْحُوظَة,كَلِمَة توضح على هامش الكِتَاب أَو غيره عنوانًا على ما ينبّهُ عليه من خطأ أَو سَهْو أَو نقص.
أَكْدَر,السَّيْل الذي يقشُر وجه الأَرْض.
رَدْغَة,الطِّين، أو الوَحْل الكثير.
صَدَفَة,صِوان الأُذُن.
حَرْبَة,آلة قصيرةٌ من الحديد محددة الرَّأْس، تُسْتعمل في الحرْب. أو سلاح أقصر من الرُّمح عريض النَّصل.
قَطِيل,صفة مشبهة لفعل قَطَل
حَالُوقَة,من الرِّجَال: المشؤوم على قومه.
كَفَح,مصدر لفعل كَفِح
حَسِيس,الحِسّ.
قَوْطَة,القُفَّة الكبيرة.
غَدَّار,مبالغة للفعل غَدَر
نَمْشَاء,صفة مشبهة لفعل نَمِش
زِبْرِقَان,البدر ليلةَ تمامه.
جُلاَّء,الأَمْر الشَّديد، والخطب العَظِيم.
أَحْوِلَة,جمع للاسم حَال
مِيزَانِيَّة,سِجِلٌّ تُعادَلُ فيه مواردُ الدَّوْلَة أَو المنشأَة أَو الشَّرِكة ومَصْرُوفَاتها.
طَرُوح,الكثير أَو الشَّديد الطَّرْح.
إِنْظَام,كلُّ خيط نَظَمَ خرزًا.
أَصِيصَة,البُيُوت المتقاربة.
نَظَائِر,جمع للاسم نَظِيرَة
فَعَلَة,عَمَلَةُ الحَفْرِ والطِّين ونحوهما.
أَفَاوِج,جمع للاسم فَوْج
وُرَّه,الرِّمال التي لا تتماسَك.
شِكَّة,ما يُحْمَلُ أَو يُلْبَسُ من السِّلاح.
هَيَاطِلَة,جنسٌ من التُّرك والسِّند.
قِذَاذ,جمع للاسم أَقَذّ
فِرْفِيرِين,في الطِّبّ: خِضَابٌ ينتج من التَّحَلُّل المَرَضي للهيمجلوبين.
تَعَارِيج,المنعطفات.
أَوَاصِر,جمع للاسم آصِرَة
مَرَاضِيح,جمع للاسم مِرْضَاح
كَحْلاَء,عشبٌ مُعَمَّرٌ مفترشٌ ينبتُ في جنوب أَوربة، وبلاد البَحْر المُتَوَسِّط، من الفَصِيلة الحِمْحِمِيَّة، أَزغَبُ شائك، وورقُهُ مستطيلٌ، وزهره أَزرق، وثمرته على شكل البندقة، وله جوز أَحمر يستخرج منه مادَّة ملوِّنة، وهو من نوع البُوغلص.
هِزَّة,النَّشَاط والارتياح.
خَشْل,الرَّذْل الرَّدِيءُ.
عَجُول,الثَّكْلَى.
سَلُوب,مبالغة للفعل أَسْلَب
أَسْكَان,جمع للاسم سُكْن
مَدَاوِيْس,جمع للاسم مِدْوَاس
أَجْنَأ,الأَحْدب
فَتِيت,الشَّيْءُ يَسْقُطُ فيتقطَّعُ ويَتَفَتَّت.
صَارُوخ,قذيفة نارية أُسطوانية الشَّكْل مخروطية تقذف إِلى مسافاتٍ بعيدة بتأثير اندفاع الغازات الَّتِي تندفع من أَسفل.
زَبّ,مصدر لفعل زَبّ
أَقَاوِيل,جمع للاسم قَوْل
ذَحْج,مصدر لفعل ذَحَج
غَثَم,مصدر لفعل غَثِم
قَثَاثَة,الجَمَاعَة من النَّاس.
يَاسَمِين,جُنَيْبَةٌ من الفَصِيلة الزَّيتونية والقبيلة الياسيمينيَّة، تُزرَع لزهرها، ولها أنواع عديدة، ويُسْتَخْرَج دُهْنُ الياسَمين من زهر بعض أَنواعها.
مُفَرَّضَة,من الثَّنايا: المُحَزَّزة الأَطراف.
عَلِيس,الشِّواء السَّمين.
مَذَاوِيد,جمع للاسم مِذْوَد
صَحْفَة,إِناء من آنية الطَّعَام، شبه قَصْعة مُتَّسِعة مُنْبَسِطة تُشْبِع خَمسة رجال.
غُنُوصِيَّة,نَزعة فكرية ترمي إِلى مزج الفلسفة بالدّين، وتشتمل على طائفة من الآراء المضنون بها على غير أَهلها، وتطلق خاصَّةً على جماعة من المفكرين في القرنين الأَوَّل والثَّاني للميلاد.
ثُكُنَات,جمع للاسم ثُكْنَة
أَزَّة,الصَّوْت.
غَصْب,أَخْذُ الشَّيْءِ ظُلْمًا.
بَغَشَات,جمع للاسم بَغْشَة
مَتَايِح,جمع للاسم مِتْيَح
مَغْزَى,السَّيْر إِلى قتال العَدُوّ ومحاربته.
عَفَن,نباتات فُطْرِيّة تعيشُ مترمّمة وتسبّب التَّعفُّن.
مَطِرَة,العادة.
آنَاف,جمع للاسم أَنْف
أُبْل,جمع للاسم أَبِيل
قَرَابِين,جمع للاسم قُرْبَان
حُشُوْك,مصدر لفعل حَشَكَ
نَقِيع,المَحْضُ من اللَّبَن يُبَرَّد.
بَقَّال,بائع البُقول ونحوها.
بَلاَبِل,جمع للاسم بَلْبَال
أَشْهُر,جمع للاسم شَهْر
جَزْعَة,مصدر لفعل جَزَع
فَوَاجِع,جمع للاسم فَاجِعَة
إِبْرِيق,السَّيْفُ البَرَّاق.
أَتْكَاك,جمع للاسم تَكّ
إِعَانَة,في علم الاقتصاد: مِنحةٌ ماليّة تمنحها الدَّوْلَةُ بعضَ المنشآت الصِّنَاعِيَّة أَو الزِّرَاعِيَّة حمايةً لها من المنافسة الأَجنبِيَّة.
أَكْيَاح,جمع للاسم كَاح
مَدِين,العَبْد.
سُبْرُوتَة,مؤنَّث سُبْرُوت.
وِلاَد,الحَمْل.
فَتَائِت,جمع للاسم فَتِيتَة
جَخْو,مصدر لفعل جَخَا
حَسَن,في مصطلح الحديث: ما عُرِفَ مُخَرِّجُه، واشتهر رجاله.
بَخِيق,صفة مشبهة لفعل بَخَق
سَفَط,وعاء يوضع فيه الطِّيب ونحوُه من أَدوات النِّسَاء.
مُدَعَّم,المَلْجَأ.
مُرَغْرَغ,غَزْلٌ لم يُبْرَم.
عِرْف,الصَّبْر.
رُذَاذ,المَطَر الضَّعيف.
أَرْدَن,ضَربٌ من الخزّ الأَحْمَر.
دَرَادِير,جمع للاسم دَرْدَار
جَمَاء,الجَـِمَا: الورمُ النَّاتِئُ في البَدَن.
رَبِيغ,صفة مشبهة لفعل رَبُغ
أَتَاتِين,جمع للاسم أَتُّون
مَخَايِط,جمع للاسم مَخِيط
طَاعُون,داءٌ وَرَمِيّ وبائِيٌّ سببه مكروب يصيب الفئران وتنقله البراغيث إِلى فئران أُخرى وإِلى الإِنْسَان.
لِيْط,قِشْرُ كلّ شيء.
مِدَرَّة,المغزل.
غِفْر,ولدُ البقرة.
جَدَال,البَلَحُ إِذا اخْضَرَّ واسْتَدَار.
حِجَال,جمع للاسم حَجَلَة
قَارِب,الزَّوْرَق.
نَفَارِير,جمع للاسم نُفْرُور
أُنَّان,جمع للاسم أُنَن
سَابِلَة,الطَّرِيق المسلوك.
كَاشِف,في الكيمياء: مادَّة كيماويَّة تُسْتخدم للتَّفاعل مع مادَّةٍ أُخرى.
نَفَاض,رِعْدَة الحُمَّى.
مَذْبَح,مكان الذَّبح.
وَكْز,مصدر لفعل وَكَز
وَحِيش,ما لا يَستأْنِس من دوابِّ البرّ.
نُهْيَة,غاية الشَّيْءِ وآخرُه.
مِصْرَب,الإِناءُ يُجْمَعُ فيه اللَّبَنُ ويُتْرَك حتى يحمض.
فَلْذ,مصدر لفعل فَلَذ
زَنَابِر,جمع للاسم زُنْبُر
سَجِس,صفة مشبهة لفعل سَجِس
رَوَاغٍ,جمع للاسم رَاغِيَة
بَخْو,الرَّخو.
أُنْثَيَان,الخُصْيتان.
أَكَمَة,التَّلّ أو الرَّابِيَة.
سَنُون,ما يُسْتَنُّ به من دَوَاء لتَقْوِيَة الأسنان وتنظيفها.
كِفَاء,سُتْرةٌ تلقى على الخِباء حتى تبلغ الأَرْض كإِزار له.
دَوْن,مصدر لفعل دَانَ
مِحْظَار,ذُبابٌ أَخضرُ يَلْسَع كذُباب الآجام.
وَصْي,مصدر لفعل وَصَى
دُهْسَة,لونُ الرَّمْل يعلوه أَدْنَى سواد.
سَرِيَّة,قطعة من الجيش، مابين خمسةِ أَنفسٍ إِلى ثلثمائة.
بُرْعُمَة,البُرْعُم: في علم النَّبَات: بُداءة زهرة أَو بُدَاءة فرع، وتتركب في كلتا الحالتين من أَوراق متراكبة.
مَنَاكِير,جمع للاسم مَنْكُور
غَنِيمَة,ما يؤخذ من المحاربين في الحَرْب قهراً.
نَاشِر,مَن يَحترف نَشْرَ الكتب وبيعَها.
غُنْيَان,مصدر لفعل غَنِي
مَسَاكِن,جمع للاسم مَسْكَن
ظَهِيرَة,شِدَّة الحرّ في نِصف النَّهَار.
عُنِيّ,مصدر لفعل عَنَى
حَشَر,النُّخالة.
رَاجِع,المَرْأَة ترجع إِلى أَهلها بعد وفاة زوجها.
رُقْمَة,الرُقْشَة والرُّقْطَة.
صَبِيب,ما يَنْصَبّ من ماء أو دمٍ أو غيرهما.
هَيِّئ,الحَسن الهَيئة.
مِسْلاَط,سِنّ المِفْتَاح.
وِشَاك,اسم بمعنى السُّرعة.
تُرُجّ,الأُتْرُجّ: شَجَر يعلو، ناعم الأَغصان والورق والثَّمَر، وثمره كاللَّيْمُون الكبَار، وهو ذَهَبيّ اللَّوْن، ذكيُّ الرَّائِحَة، حامض الماء.
طُعُم,جمع للاسم طَعُوم
نُفُوس,مصدر لفعل نَفُس
مِسْفَن,كلُّ ما يُنْحَتُ به الشَّيْءُ ويُليَّنُ من فأْس، أَو قدومٍ، أَو حجرٍ، أَو جِلْدٍ خَشِن.
سَوْج,مصدر لفعل سَاج
لِجَان,جمع للاسم لَجْنَة
تُرَّهَات,جمع للاسم تُرَّهَة
فَرِج,صفة مشبهة لفعل فَرِج
نَجْه,مصدر لفعل نَجَه
مِنْفَخ,ما يُنْفَخ به.
شُجُوب,مصدر لفعل شَجَب
وَلِيمَة,كلُّ طعامٍ صُنِعَ لعُرسٍ وغيره.
رَازِقِيّ,الضَّعِيف.
أَسَاهِيج,ضروب مختلفة من السَّيْر.
نَسِيئَة,التَّأَخير.
جِلْف,الكزّ الغليظ الجافي.
دَبُّوق,لُعْبةٌ للصِّبيان.
قَمِلَة,صفة مشبهة لفعل قَمِل
حَائِر,المتردِّد.
قُتَر,جمع للاسم قُتْرَة
حُبُوط,مصدر لفعل حَبَطَ
صَحْنَاة,إِدامٌ يتخذ من السَّمك الصِّغار المملَّح.
مَتَارِيس,جمع للاسم مِتْرَاس
دَمْجَة,الطَّرِيقَة.
رَصِيص,نقاب المرأَة إِذا أَدْنتْه من عينها.
مُسْطَرِين,أَداة البَنَّاء يسوِّي بها الآجُرّ، ويضع بها المِلاَط بين سطوره.
هَتَّاك,مبالغة للفعل هَتَك
هُمُومَة,مصدر لفعل هَمَّ
مُؤَرْنَبَة,الأَرْض الكثيرة الأَرانب
سُبَات,الدَّهْر.
خَرَاشِف,جمع للاسم خَرْشَفَة
غُمْيَة,اللَّيْلة الَّتِي تُلتَمسُ فيها رؤية الهِلال فيحول دون رؤيته سَحَابٌ أَو ضَبَاب.
مَخْرَأَة,المكان يُتَغوَّط فيه.
رَعْثَة,القُرْط، أَو كلُّ ما تذبذب من قُرط أَو قلادةٍ.
خِيَف,جمع للاسم خَيْفَة
نَبِيثَة,ترابُ البئر والنَّهر.
مَدَافِئ,جمع للاسم مَدْفَأَة
ضَجّ,مصدر لفعل ضَجّ
